"OBS","LAND_NOM","MKVAL_NOM","STRUC_NOM","LAND_PI","MKVAL_PI","STRUC_PI","CONS_PI"
"1975Q1",690.318366791214,2216.978940771997,1526.660573980783,0.1752850850462574,0.2571625189066143,0.3100747645667892,0.3533128253667771
"1975Q2",716.6095167895965,2273.417602577318,1556.808085787721,0.181711924066198,0.2633223581367057,0.3157196943810396,0.358719829626124
"1975Q3",708.1255780078159,2282.997992406596,1574.87241439878,0.179289450612329,0.2639254193200713,0.3187130106747947,0.3641150023663039
"1975Q4",720.3450038188905,2327.36800381889,1607.023,0.1821329533685889,0.2684483781953133,0.324357940489045,0.3700425934690014
"1976Q1",732.7198689782233,2361.449325309844,1628.72945633162,0.18490228223844,0.2706021681359047,0.3259161051351093,0.3756743965925225
"1976Q2",786.5231031692197,2479.111405385853,1692.588302216633,0.1980609675289764,0.2821895580162864,0.3357161406721977,0.3801703738760057
"1976Q3",801.8822207709895,2536.269740270882,1734.387519499893,0.2014811684224458,0.2868417442879639,0.3411287126006314,0.3861097964978704
"1976Q4",806.3492464982692,2586.974246498269,1780.625,0.2021082290343602,0.2904170355893456,0.3468556510804642,0.3921320397539045
"1977Q1",841.2969836625152,2680.826028772765,1839.52904511025,0.2103640770977378,0.2987306647600284,0.3548651640856718,0.3986630383341221
"1977Q2",920.9567619962913,2833.193471988647,1912.236709992355,0.2296799789886406,0.3131179815631791,0.364870221286716,0.4047681022243256
"1977Q3",924.3414321526907,2922.438794389607,1998.097362236917,0.2298784805489287,0.3203547157635662,0.3772125254568566,0.4115238996687174
"1977Q4",980.483139437612,3056.698139437612,2076.215,0.2431693823670963,0.33245901522969,0.3879693287590723,0.4175698059630857
"1978Q1",1010.878686590163,3168.319052034154,2157.440365443991,0.2500780504969929,0.3426249037492814,0.4002296242636306,0.4242072882158069
"1978Q2",1076.324513671355,3317.16827924057,2240.843765569215,0.2656303167480181,0.3565383867655019,0.4124352473244673,0.4315783246568859
"1978Q3",1125.941240114657,3438.648170873922,2312.706930759264,0.277216495786628,0.3673073364684589,0.4222352828615557,0.4390085186938004
"1978Q4",1157.093222661684,3550.591222661684,2393.498,0.284250317375174,0.3769563154023085,0.4335114743791261,0.446888310459063
"1979Q1",1273.763128011659,3736.517040611705,2462.753912600045,0.3122150218285898,0.3937128011401096,0.4414799830515424,0.4529460482725983
"1979Q2",1310.921369126128,3886.167155703367,2575.245786577239,0.3205955715029574,0.4065063133872226,0.4571163019559068,0.4628726928537625
"1979Q3",1311.35671045204,3998.736609350381,2687.379898898341,0.3199361181188671,0.4152937763448355,0.4725065948635239,0.4713795551348793
"1979Q4",1328.311870538495,4105.353870538494,2777.042,0.32332598622027,0.4234781781190829,0.4839194674903982,0.4811760530052059
"1980Q1",1328.788798169409,4195.474714443997,2866.685916274588,0.3228248092853947,0.4307579881182818,0.4965761382119378,0.4928892569805964
"1980Q2",1329.496864252846,4275.522388360271,2946.025524107426,0.322520177174793,0.4375639643305507,0.5082760411683501,0.5038925698059632
"1980Q3",1383.06364522689,4409.641623906236,3026.577978679346,0.3350601803783168,0.4498836427907335,0.5201262933449968,0.5150733554188358
"1980Q4",1313.469585324931,4441.406585324931,3127.937,0.3176901482240577,0.4513482199503357,0.534915189371677,0.5275911026975865
"1981Q1",1281.549929591528,4481.216499185824,3199.666569594297,0.3093664431909509,0.4541050710742927,0.545439634788076,0.5392924751538099
"1981Q2",1319.085122740105,4581.337347518695,3262.252224778589,0.3178776596102334,0.463064837227153,0.5545015923349235,0.549420255560814
"1981Q3",1348.679485455518,4664.819008539376,3316.139523083858,0.3245469603877452,0.470560026220411,0.5624017604526879,0.559477046852816
"1981Q4",1309.243109330491,4669.926109330491,3360.683,0.3146775275378836,0.4704307988239755,0.5691401391413693,0.5693563653573119
"1982Q1",1334.25503520435,4745.969799546823,3411.714764342473,0.3202679089004975,0.4779690636160455,0.5778740620258874,0.5775911026975864
"1982Q2",1327.581989604357,4786.300536804544,3458.718547200188,0.318291025588026,0.4819751129055456,0.5860065880294685,0.5853525792711785
"1982Q3",1254.058915688139,4744.405395538054,3490.346479849915,0.3002851899187873,0.4777106088231746,0.5915558410672062,0.5946994794131567
"1982Q4",1299.096123219379,4805.981123219379,3506.885,0.3106234854125849,0.4836981448580187,0.5943167994751446,0.6030407004259348
"1983Q1",1372.775620228063,4905.779443783041,3533.003823554977,0.3276405855975559,0.4921840772239489,0.596544701556798,0.6112517747278752
"1983Q2",1420.357676875628,4977.642331598899,3557.28465472327,0.338306960478205,0.4974393246789919,0.5978431720951848,0.6159962139138666
"1983Q3",1453.148224793359,5042.762305788343,3589.614080994984,0.345340614492143,0.5016176771637392,0.5999070568456734,0.625378608613346
"1983Q4",1450.655498857512,5095.842498857512,3645.187,0.3439387398612936,0.5043745282876962,0.605524650438063,0.6303951727401799
"1984Q1",1508.087611715003,5199.947910099073,3691.86029838407,0.3566954278187397,0.5119558688785779,0.6093107171657806,0.6367368670137246
"1984Q2",1551.293187333092,5295.433552416482,3744.14036508339,0.3660448257566608,0.5185464660967877,0.613834861883739,0.6442025556081401
"1984Q3",1567.921203257456,5375.893585257407,3807.972381999951,0.36910610601843,0.5236294103565834,0.6202178696882305,0.6502721249408425
"1984Q4",1598.853252575256,5448.664252575256,3849.811,0.375526391444164,0.5279369902377662,0.6229788280961689,0.6549455750118316
"1985Q1",1654.937270451894,5552.75418420623,3897.816913754336,0.3878311903401749,0.5351737244381534,0.6265872093817915,0.6640085186938004
"1985Q2",1735.53936994838,5667.272820514405,3931.733450566025,0.4058585915858033,0.5433581262124007,0.6278720118092478,0.6700189304306674
