"OBS","LAND_NOM","MKVAL_NOM","STRUC_NOM","LAND_PI","MKVAL_PI","STRUC_PI","CONS_PI"
"1975Q1",563.8592674399329,2090.519841420716,1526.660573980783,0.1450186340460414,0.2446362832569729,0.3100747645667892,0.3533128253667771
"1975Q2",539.8768295350455,2096.684915322767,1556.808085787721,0.1385984095374349,0.2449674463467567,0.3157196943810396,0.358719829626124
"1975Q3",554.860896943168,2129.733311341948,1574.87241439878,0.1421705977556181,0.2483176593521421,0.3187130106747947,0.3641150023663039
"1975Q4",577.8675208618868,2184.890520861887,1607.023,0.1478122035617752,0.2541371272405755,0.324357940489045,0.3700425934690014
"1976Q1",606.8129550921528,2235.542411423773,1628.72945633162,0.1548523899054017,0.2582364761675107,0.3259161051351093,0.3756743965925225
"1976Q2",605.5061491191045,2298.094451335738,1692.588302216633,0.1540956052130866,0.2635511614821959,0.3357161406721977,0.3801703738760057
"1976Q3",627.9912576078482,2362.378777107741,1734.387519499893,0.1593655974261292,0.2690555421589904,0.3411287126006314,0.3861097964978704
"1976Q4",649.6269689524911,2430.251968952491,1780.625,0.164355826760641,0.2746113656458484,0.3468556510804642,0.3921320397539045
"1977Q1",683.8436089260263,2523.372654036276,1839.52904511025,0.1725042533887946,0.2828968732417008,0.3548651640856718,0.3986630383341221
"1977Q2",729.9192019368475,2642.155911929203,1912.236709992355,0.1835189976805433,0.2936066232617957,0.364870221286716,0.4047681022243256
"1977Q3",745.5961336206001,2743.693495857517,1998.097362236917,0.1868096817958307,0.3022490153524636,0.3772125254568566,0.4115238996687174
"1977Q4",795.3937324786243,2871.608732478625,2076.215,0.1986102749113256,0.3137143316453661,0.3879693287590723,0.4175698059630857
"1978Q1",833.4152557667476,2990.855621210738,2157.440365443991,0.2074702540259595,0.3247584599308738,0.4002296242636306,0.4242072882158069
"1978Q2",877.47774574203,3118.321511311245,2240.843765569215,0.2177969887125445,0.3364070412346275,0.4124352473244673,0.4315783246568859
"1978Q3",954.9359683056391,3267.642899064903,2312.706930759264,0.2363600369498707,0.3502194357366771,0.4222352828615557,0.4390085186938004
"1978Q4",1011.250487269957,3404.748487269957,2393.498,0.2496592308146665,0.3625978619082068,0.4335114743791261,0.446888310459063
"1979Q1",1109.990195371685,3572.744107971731,2462.753912600045,0.2733364880949911,0.3774969857728479,0.4414799830515424,0.4529460482725983
"1979Q2",1148.605915514139,3723.851702091378,2575.245786577239,0.2821148854080866,0.3904798649626236,0.4571163019559068,0.4628726928537625
"1979Q3",1185.62690677477,3873.006805673112,2687.379898898341,0.29043856598103,0.4031251507113577,0.4725065948635239,0.4713795551348793
"1979Q4",1233.342576861022,4010.384576861022,2777.042,0.3013775159075188,0.4145293786673097,0.4839194674903982,0.4811760530052059
"1980Q1",1247.635213273391,4114.321129547979,2866.685916274588,0.3042503722262853,0.4232521501487018,0.4965761382119378,0.4928892569805964
"1980Q2",1260.189438201272,4206.214962308697,2946.025524107426,0.3068334165747828,0.4312900892211237,0.5082760411683501,0.5038925698059632
"1980Q3",1266.501458206701,4293.079436886047,3026.577978679346,0.307913941660964,0.4387878787878788,0.5201262933449968,0.5150733554188358
"1980Q4",1254.274237602702,4382.211237602702,3127.937,0.3044292070914933,0.4461184792219275,0.534915189371677,0.5275911026975865
"1981Q1",1259.496889706872,4459.163459301169,3199.666569594297,0.3050914463519627,0.4526613616268789,0.545439634788076,0.5392924751538099
"1981Q2",1285.579573070711,4547.8317978493,3262.252224778589,0.3108578436632107,0.4604742384052729,0.5545015923349235,0.549420255560814
